"","C2_r","C2_decay","C2_0","C2_in","C2_inputtime","C2_RMSE","C1_index","C1_r","C1_decay","C1_0","C1_in","C1_inputtime","C1_RMSE","C2_index","sumRMSE","index","time","C1","C2"
"1",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,3,102,43
"2",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,3,102,43
"3",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,3,102,43
"4",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,3,102,43
"5",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,4,101.840872742662,42.9656274474472
"6",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,5,101.681992097607,42.9312822776489
"7",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,5,101.681992097607,42.9312822776489
"8",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,6,101.523358068749,42.8969644910412
"9",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,8,101.206829859625,42.8284110673982
"10",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,59,93.4607696012706,41.1168534886166
"11",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,69,92.0129442384917,40.7893628166533
"12",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,78,90.7290623152737,40.4968505586191
"13",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,88,89.3235272714721,40.1742965399372
"14",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,93,88.6289465508673,40.013984296347
"15",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,101,87.5288361471572,39.7588143429385
"16",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,105,86.9839132808256,39.6318402564283
"17",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,122,84.7055816969961,39.0967086027822
"18",0,0.00079968012794882,43,0,85,16.8144038650827,21,0,0.00156128024980484,102,0,85,28.1673316798777,3,44.9817355449605,1,126,84.1782347466304,38.9718490013928
